Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
2024-02-01,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11247,1817,7288,47,0,140,5263,170,255,21,0,0,274,100,2797,80,103,1400
2024-02-01,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2024-02-01,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,12311,0,6511,166,0,759,4302,0,479,0,0,0,601,216,5731,0,0,918
2024-02-01,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11468,0,374,0,0,157,4840,0,0,0,0,0,901,77,3877,0,0,1240
2024-02-01,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11076,0,3339,0,0,0,4303,0,50,0,0,0,1096,69,2836,0,0,400
2024-02-01,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9086,0,0,420,0,0,3981,0,0,0,0,0,1278,0,2000,0,0,199
2024-02-01,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,3977,355,1657,280,0,0,1708,0,0,131,0,0,461,3,1186,0,0,800
2024-02-01,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,5708,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,186
2024-02-01,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,18567,0,5514,582,0,0,4359,0,135,0,0,0,1031,51,2576,0,0,336
2024-02-01,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7090,0,5315,0,0,0,3753,0,49,0,0,0,1089,428,2034,0,0,825
2024-02-01,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,19933,0,9901,347,0,59,8656,0,38,145,0,2,1007,692,3897,0,7,2280
2024-02-01,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11327,1765,423,1424,0,114,4805,0,5,464,0,1,991,1,3975,124,12,4207
2024-02-01,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7635,0,4029,82,0,650,3275,0,162,47,0,48,664,651,2846,0,35,915
2024-02-01,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,8577,0,0,22,0,0,3009,0,0,12,0,0,679,168,2639,0,0,2014
2024-02-01,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7476,0,7501,0,0,665,3909,0,652,0,0,0,1323,38,3439,0,0,533
2024-02-01,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11829,0,5215,127,0,0,6637,0,23,48,0,0,980,302,3338,0,0,1512
2024-02-01,RWW,NHS ENGLAND NORTH WEST ,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6669,0,3103,229,0,58,3735,0,295,95,0,3,591,811,1765,0,0,218
2024-02-01,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,15953,0,5828,116,0,60,6246,0,502,16,0,1,2149,143,3274,0,140,961
2024-02-01,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,11585,0,3904,205,0,99,4855,0,158,51,0,1,1140,385,2985,0,177,1352
2024-02-01,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3437,0,0,173,0,0,217,0,0,6,0,0,0,0,0,0
2024-02-01,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,9769,0,0,488,0,0,280,0,0,10,0,0,0,0,0,0
